leg,city,latitude,longitude,type
London-Dover,London,51.507351,-0.127758,bike
London-Dover,Dover,51.127876,1.313403,bike
Dover-Calais,Dover,51.127876,1.313403,ferry
Dover-Calais,Calais,50.95129,1.858686,ferry
Calais-Brussels,Calais,50.95129,1.858686,bike
Calais-Brussels,Brussels,50.850346,4.351721,bike
Brussels-Luxemburg,Brussels,50.850346,4.351721,bike
Brussels-Luxemburg,Luxemburg,49.611621,6.131935,bike
Luxemburg-Munich,Luxemburg,49.611621,6.131935,bike
Luxemburg-Munich,Munich,48.135125,11.58198,bike
Munich-Salzberg,Munich,48.135125,11.58198,bike
Munich-Salzberg,Salzberg,47.80949,13.05501,bike
Salzberg-Graz,Salzberg,47.80949,13.05501,bike
Salzberg-Graz,Graz,47.070714,15.439504,bike
Graz-Venice,Graz,47.070714,15.439504,bike
Graz-Venice,Venice,45.440847,12.315515,bike
Venice-Bologna,Venice,45.440847,12.315515,bike
Venice-Bologna,Bologna,44.494887,11.342616,bike
Bologna-Florence,Bologna,44.494887,11.342616,bike
Bologna-Florence,Florence,43.76956,11.255814,bike
Florence-Rome,Florence,43.76956,11.255814,bike
Florence-Rome,Rome,41.902783,12.496366,bike
Rome-Naples,Rome,41.902783,12.496366,bike
Rome-Naples,Naples,40.851775,14.268124,bike
Naples-Bari,Naples,40.851775,14.268124,bike
Naples-Bari,Bari,41.117143,16.871871,bike
Bari-Durres,Bari,41.117143,16.871871,ferry
Bari-Durres,Durres,41.32459,19.456469,ferry
Durres-Skopje,Durres,41.32459,19.456469,bike
Durres-Skopje,Skopje,41.997346,21.427996,bike
Skopje-Sofia,Skopje,41.997346,21.427996,bike
Skopje-Sofia,Sofia,42.697708,23.321868,bike
Sofia-Burgas,Sofia,42.697708,23.321868,bike
Sofia-Burgas,Burgas,42.504793,27.462636,bike
Burgas-Batumi,Burgas,42.504793,27.462636,ferry
Burgas-Batumi,Batumi,41.616755,41.636745,ferry
Batumi-Tbilisi,Batumi,41.616755,41.636745,bike
Batumi-Tbilisi,Tbilisi,41.715138,44.827096,bike
Tbilisi-Mingacevir,Tbilisi,41.715138,44.827096,bike
Tbilisi-Mingacevir,Mingacevir,40.770256,47.049601,bike
Mingacevir-Baku,Mingacevir,40.770256,47.049601,bike
Mingacevir-Baku,Baku,40.409262,49.867092,bike
Baku-Turkmenbashi,Baku,40.409262,49.867092,ferry
Baku-Turkmenbashi,Turkmenbashi,40.033659,52.97593,ferry
Turkmenbashi-Gyzylgaya,Turkmenbashi,40.033659,52.97593,bike
Turkmenbashi-Gyzylgaya,Gyzylgaya,40.618605,55.466103,bike
Gyzylgaya-Nukus,Gyzylgaya,40.618605,55.466103,bike
Gyzylgaya-Nukus,Nukus,42.461891,59.616631,bike
Nukus-Bukhara,Nukus,42.461891,59.616631,bike
Nukus-Bukhara,Bukhara,39.768083,64.455577,bike
Bukhara-Tashkent,Bukhara,39.768083,64.455577,bike
Bukhara-Tashkent,Tashkent,41.299496,69.240073,bike
Tashkent-Shymkent,Tashkent,41.299496,69.240073,bike
Tashkent-Shymkent,Shymkent,42.341685,69.590101,bike
Shymkent-Almaty,Shymkent,42.341685,69.590101,bike
Shymkent-Almaty,Almaty,43.222015,76.851248,bike
Almaty-Delhi,Almaty,43.222015,76.851248,flight
Almaty-Delhi,Delhi,28.704059,77.10249,flight
Delhi-Agra,Delhi,28.704059,77.10249,bike
Delhi-Agra,Agra,27.17667,78.008075,bike
Agra-Bahraich,Agra,27.17667,78.008075,bike
Agra-Bahraich,Bahraich,27.570838,81.598025,bike
Bahraich-Kathmandu,Bahraich,27.570838,81.598025,bike
Bahraich-Kathmandu,Kathmandu,27.717245,85.32396,bike
Kathmandu-Rajibiraj,Kathmandu,27.717245,85.32396,bike
Kathmandu-Rajibiraj,Rajibiraj,26.541946,86.756722,bike
Rajibiraj-Bongaigaon,Rajibiraj,26.541946,86.756722,bike
Rajibiraj-Bongaigaon,Bongaigaon,26.500999,90.535236,bike
Bongaigaon-Guwahati,Bongaigaon,26.500999,90.535236,bike
Bongaigaon-Guwahati,Guwahati,26.144517,91.736237,bike
Guwahati-Ashu_Igha,Guwahati,26.144517,91.736237,bike
Guwahati-Ashu_Igha,Ashu_Igha,25.757512,94.311571,bike
Ashu_Igha-Mandalay,Ashu_Igha,25.757512,94.311571,flight
Ashu_Igha-Mandalay,Mandalay,21.958828,96.089103,flight
Mandalay-Naypyitaw,Mandalay,21.958828,96.089103,bike
Mandalay-Naypyitaw,Naypyitaw,19.763306,96.07851,bike
Naypyitaw-Bangkok,Naypyitaw,19.763306,96.07851,bike
Naypyitaw-Bangkok,Bangkok,13.756331,100.501765,bike
Bangkok-Krong_Siem_Reap,Bangkok,13.756331,100.501765,bike
Bangkok-Krong_Siem_Reap,Krong_Siem_Reap,13.367097,103.844813,bike
Krong_Siem_Reap-Ho_Chi_Minh,Krong_Siem_Reap,13.367097,103.844813,bike
Krong_Siem_Reap-Ho_Chi_Minh,Ho_Chi_Minh,10.823099,106.629664,bike
